,strategy,covariance_method,rebalance_mode,threshold,vol_targeting_enabled,cagr,sharpe,sortino,volatility,max_drawdown,calmar,final_value,status
0,HRP,sample,calendar,,false,0.13787658344289522,1.0543068771083652,1.1723913709776694,0.10925651337292548,-0.2651983461454579,0.5198998615446556,3668266.0572005715,success
1,HRP,sample,calendar,,true,0.10830855625481006,1.0770904648519366,1.2841127828973211,0.07989054239667549,-0.12558249607292138,0.862449462637843,2852928.4686065316,success
2,HRP,sample,threshold,0.03,false,0.13770052657782972,1.043134458221786,1.1609795936837872,0.11040144803965893,-0.267397976898608,0.5149647285104293,3685598.1879993705,success
3,HRP,sample,threshold,0.05,false,0.1338310165092882,1.0117597008638242,1.1299438802332678,0.11046194776259631,-0.2651983461454579,0.504644989135353,3577589.3068368607,success
4,HRP,sample,threshold,0.1,false,0.13570121789929512,1.0210781233378647,1.1398900132680319,0.11114006247265822,-0.25147571194795826,0.5396195793547564,3646662.531228864,success
5,HRP,sample,threshold,0.03,true,0.11024922913022328,1.091884365913257,1.305868488135776,0.08045167101299112,-0.12039458850975526,0.9157324302934934,2904267.15352629,success
6,HRP,sample,threshold,0.05,true,0.10466158312765561,1.0336220237052058,1.2422290585722509,0.08007454574711885,-0.12536204243026716,0.8348745848319581,2758660.1131006004,success
7,HRP,sample,threshold,0.1,true,0.10571891961093449,1.0423203390084497,1.2468956324838119,0.08034503352947601,-0.1230812986694585,0.8589356852241898,2785697.0526684793,success
8,HRP,ledoit_wolf,calendar,,false,0.13499374084963467,0.9858245556003025,1.1003270659171756,0.11491284856779824,-0.26542240598140143,0.5085996427109997,3577428.306305984,success
9,HRP,ledoit_wolf,calendar,,true,0.10075721683136085,0.9541685042626881,1.149641929393987,0.08330579843124646,-0.1339527043878077,0.7521850140453881,2660860.480923076,success
10,HRP,ledoit_wolf,threshold,0.03,false,0.13001613732880335,0.938062055642128,1.04967827332753,0.11624477218413487,-0.27210609135645114,0.47781413742217904,3444854.6966346987,success
11,HRP,ledoit_wolf,threshold,0.05,false,0.1302603328201768,0.9362434786916649,1.053089943012508,0.11676591564331028,-0.26776923946688325,0.4864648870031501,3468778.9166637585,success
12,HRP,ledoit_wolf,threshold,0.1,false,0.13013110756913937,0.9386747758753744,1.055239414474136,0.11628302569643867,-0.26229795990408367,0.4961194041186036,3470554.3251723293,success
13,HRP,ledoit_wolf,threshold,0.03,true,0.101184740141262,0.9449744588608897,1.1392308430790672,0.08464686927062925,-0.13645081699466166,0.7415473382267885,2671414.782373897,success
14,HRP,ledoit_wolf,threshold,0.05,true,0.1018204776463143,0.950969853459936,1.149695734735892,0.0847278392849589,-0.12665191204234272,0.8039395221469164,2687179.110826391,success
15,HRP,ledoit_wolf,threshold,0.1,true,0.10370706510582339,0.9635591878872857,1.1605635549943758,0.08546265376117879,-0.12798631420250628,0.8102980834476797,2734455.8365875063,success
16,HRP,ewma_ledoit_wolf,calendar,,false,0.1352564032310306,0.9775909732567325,1.0812038749009383,0.11628678645947077,-0.28225266481501066,0.4792032816401507,3580381.3288033092,success
17,HRP,ewma_ledoit_wolf,calendar,,true,0.1068717851913148,1.0071901680813427,1.1970271528101688,0.0845242552671191,-0.13115096134660398,0.8148761098965603,2815448.9041722454,success
18,HRP,ewma_ledoit_wolf,threshold,0.03,false,0.13236451704389385,0.9511583593617371,1.0567364199747018,0.11691127970936194,-0.2834679140196733,0.4669470881798194,3515758.5305081056,success
19,HRP,ewma_ledoit_wolf,threshold,0.05,false,0.12762957941070985,0.9111575892758236,1.0121382622830362,0.11752558058646999,-0.27811109831001923,0.45891580805753074,3383837.5747725726,success
20,HRP,ewma_ledoit_wolf,threshold,0.1,false,0.13491274386050822,0.9580218856409374,1.0726114095097954,0.11863459840371929,-0.26039036896339296,0.518117257552928,3626119.9029416456,success
21,HRP,ewma_ledoit_wolf,threshold,0.03,true,0.09906308635712424,0.9200362063947057,1.103049198155503,0.08486538058227011,-0.1260974222993665,0.7856075449499647,2619406.1198588805,success
22,HRP,ewma_ledoit_wolf,threshold,0.05,true,0.09377368775064321,0.8587603709031228,1.032801746253147,0.08535065750514674,-0.1400012433048653,0.6698061069817971,2493698.5149125676,success
23,HRP,ewma_ledoit_wolf,threshold,0.1,true,0.10061229340637978,0.9243853516087773,1.113433935089444,0.08610626816429959,-0.13063159181811812,0.7701987858072263,2657291.2892740816,success
24,HERC,sample,calendar,,false,0.14557904297986535,1.112532018542819,1.279785357778738,0.10962524923645912,-0.18536705607099502,0.7853555322371253,3900295.890280823,success
25,HERC,sample,calendar,,true,0.12043339688161558,1.2083232652269569,1.468906601349655,0.08024283135822505,-0.14564517544531597,0.8268958893652717,3187596.1693172525,success
26,HERC,sample,threshold,0.03,false,0.14858463893329832,1.1423974329950388,1.313867609712142,0.10899132321766189,-0.1865100056252088,0.7966577365928487,4009120.4240724794,success
27,HERC,sample,threshold,0.05,false,0.15240126435359702,1.1716821059955085,1.3454878234235639,0.10911159192186923,-0.18888970194947685,0.8068267501124039,4157779.322058067,success
28,HERC,sample,threshold,0.1,false,0.1453329745983991,1.1052519214640164,1.2688917360020568,0.1102108117156495,-0.17686933451414322,0.8216968475492153,3928703.8764721625,success
29,HERC,sample,threshold,0.03,true,0.12209715780515618,1.2260046588105704,1.4858007336848564,0.08030014241386488,-0.1423704347412904,0.8576019173294372,3236180.7392542036,success
