,experiment_name,strategy,covariance_method,rebalance_mode,threshold,transaction_cost_bps,slippage_bps,vol_targeting_enabled,target_vol,defensive_asset,cagr,sharpe,sortino,volatility,max_drawdown,calmar,final_value,total_turnover,average_turnover,total_transaction_cost,number_of_rebalances,status,error
0,dashboard_sensitivity_study,HRP,sample,threshold,0.03,10,5,true,0.1,LIQUIDBEES.NS,0.11024922913022328,1.091884365913257,1.305868488135776,0.08045167101299112,-0.12039458850975526,0.9157324302934934,2904267.15352629,7.161788700270937,0.1085119500041051,23096.605504123956,66,success,
1,dashboard_sensitivity_study,HRP,sample,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.10830855625481006,1.0770904648519366,1.2841127828973211,0.07989054239667549,-0.12558249607292138,0.862449462637843,2852928.4686065316,11.3557207488713,0.09012476784818493,37814.89385626774,126,success,
2,dashboard_sensitivity_study,HRP,sample,threshold,0.1,10,5,true,0.1,LIQUIDBEES.NS,0.10571891961093449,1.0423203390084497,1.2468956324838119,0.08034503352947601,-0.1230812986694585,0.8589356852241898,2785697.0526684793,2.288555908890668,0.22885559088906682,6743.91493688631,10,success,
3,dashboard_sensitivity_study,HRP,sample,threshold,0.05,10,5,true,0.1,LIQUIDBEES.NS,0.10466158312765561,1.0336220237052058,1.2422290585722509,0.08007454574711885,-0.12536204243026716,0.8348745848319581,2758660.1131006004,3.836318149788983,0.15345272599155932,11091.506017269661,25,success,
4,dashboard_sensitivity_study,HRP,ewma_ledoit_wolf,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.1068717851913148,1.0071901680813427,1.1970271528101688,0.0845242552671191,-0.13115096134660398,0.8148761098965603,2815448.9041722454,11.854361286555521,0.09408223243298033,39471.387730670234,126,success,
5,dashboard_sensitivity_study,HRP,ledoit_wolf,threshold,0.1,10,5,true,0.1,LIQUIDBEES.NS,0.10370706510582339,0.9635591878872857,1.1605635549943758,0.08546265376117879,-0.12798631420250628,0.8102980834476797,2734455.8365875063,1.87250589542837,0.23406323692854625,5757.204853660955,8,success,
6,dashboard_sensitivity_study,HRP,ledoit_wolf,threshold,0.05,10,5,true,0.1,LIQUIDBEES.NS,0.1018204776463143,0.950969853459936,1.149695734735892,0.0847278392849589,-0.12665191204234272,0.8039395221469164,2687179.110826391,2.990661886715978,0.1574032571955778,9038.119873123554,19,success,
7,dashboard_sensitivity_study,HRP,ewma_ledoit_wolf,threshold,0.03,10,5,true,0.1,LIQUIDBEES.NS,0.09906308635712424,0.9200362063947057,1.103049198155503,0.08486538058227011,-0.1260974222993665,0.7856075449499647,2619406.1198588805,6.662734925432434,0.11897740938272204,21624.46992105551,56,success,
8,dashboard_sensitivity_study,HRP,ewma_ledoit_wolf,threshold,0.1,10,5,true,0.1,LIQUIDBEES.NS,0.10061229340637978,0.9243853516087773,1.113433935089444,0.08610626816429959,-0.13063159181811812,0.7701987858072263,2657291.2892740816,1.3347812344880934,0.26695624689761865,4381.703188207085,5,success,
9,dashboard_sensitivity_study,HRP,ledoit_wolf,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.10075721683136085,0.9541685042626881,1.149641929393987,0.08330579843124646,-0.1339527043878077,0.7521850140453881,2660860.480923076,10.831951326812435,0.08596786767311457,36285.44901583605,126,success,
